ID_INTERNO,CLIENTE,ID,NUMERO_COMPRA,ANO_COMPRA,SEQUENCIAL_COMPRA,ESTADO,UNIDADE,CNPJ,ORGAO,ESFERA,MUNICIPIO,VALOR_ESTIMADO,VALOR_HOMOLOGADO,DATA_PUBLICACAO,DATA_DISPUTA,MODALIDADE,MODO_DISPUTA,SITUACAO,SRP,LINK_PNCP,LINK_PORTAL,PORTAL
COMPRASGOV-2BE823394F3B,Air Liquide,82/2026,82,2026.0,9781.0,Rio de Janeiro,CENTRO MEDICO ASSISTENCIAL DA MARINHA,00394502000144,COMANDO DA MARINHA,F,Rio de Janeiro,429777.0,,2026-08-14T04:00:20,2026-08-26T08:00:00,Pregão - Eletrônico,Aberto,Divulgada no PNCP,False,https://pncp.gov.br/app/editais/00394502000144/2026/9781,https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=76570005000822026,COMPRASGOV
None-FCE4DEC14927,Cabala,,,,,,,,,,,,,,,,,,,https://pncp.gov.br/app/editais/None/None/None,,
COMPRASGOV-024B258BC5BC,Air Liquide,102/2026,102,2026.0,1687.0,Roraima,DISTRITO SANIT.ESP.INDÍGENA - LESTE RR,00394544000185,MINISTERIO DA SAUDE,F,Boa Vista,514827.94,,2026-08-14T04:00:27,2026-08-27T08:00:00,Pregão - Eletrônico,Aberto-Fechado,Divulgada no PNCP,True,https://pncp.gov.br/app/editais/00394544000185/2026/1687,https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=25705105001022026,COMPRASGOV
COMPRASGOV-E1EF349F0878,Air Liquide,17/2026,17,2026.0,356.0,Pernambuco,CENTRO REG. DE CIENCIAS NUCLEARES DO NORDESTE,00402552000126,COMISSAO NACIONAL DE ENERGIA NUCLEAR,F,Recife,65815.2,,2026-08-13T04:00:06,2026-08-28T09:30:00,Pregão - Eletrônico,Aberto,Divulgada no PNCP,True,https://pncp.gov.br/app/editais/00402552000126/2026/356,https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=11321105000172026,COMPRASGOV
COMPRASGOV-37426E18D27E,Santos Extintores,157/2026,157,2026.0,2613.0,São Paulo,TRIBUNAL REGIONAL DO TRABALHO DA 15A.REGIAO,00509968000148,TRIBUNAL SUPERIOR DO TRABALHO,F,Campinas,107884.93,,2026-08-13T04:00:01,2026-08-27T14:00:00,Pregão - Eletrônico,Aberto-Fechado,Divulgada no PNCP,False,https://pncp.gov.br/app/editais/00509968000148/2026/2613,https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=08001105001572026,COMPRASGOV
COMPRASGOV-73FE36E93952,Cabala,174/2026,174,2026.0,2639.0,Pará,TRIBUNAL REGIONAL DO TRABALHO DA 8A.REGIAO,00509968000148,TRIBUNAL SUPERIOR DO TRABALHO,F,Belém,12553917.5,,2026-08-14T04:00:23,2026-08-27T09:00:00,Pregão - Eletrônico,Aberto,Divulgada no PNCP,True,https://pncp.gov.br/app/editais/00509968000148/2026/2639,https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=08000305001742026,COMPRASGOV
COMPRASGOV-73FE36E93952,Divena,174/2026,174,2026.0,2639.0,Pará,TRIBUNAL REGIONAL DO TRABALHO DA 8A.REGIAO,00509968000148,TRIBUNAL SUPERIOR DO TRABALHO,F,Belém,12553917.5,,2026-08-14T04:00:23,2026-08-27T09:00:00,Pregão - Eletrônico,Aberto,Divulgada no PNCP,True,https://pncp.gov.br/app/editais/00509968000148/2026/2639,https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=08000305001742026,COMPRASGOV
COMPRASGOV-9E9488F3A873,Air Liquide,67/2026,67,2026.0,110.0,São Paulo,COMITE PARALIMPICO BRASILEIRO/SP,00700114000144,COMITE PARAOLIMPICO BRASILEIRO,N,São Paulo,241784.85,,2026-08-12T16:09:53,2026-08-26T10:00:00,Pregão - Eletrônico,Aberto-Fechado,Divulgada no PNCP,True,https://pncp.gov.br/app/editais/00700114000144/2026/110,https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=92947205000672026,COMPRASGOV
MG-C1A4B7C110BB,Mercedes,22/2026,22,2026.0,24.0,Minas Gerais,Secretaria Municipal de Educação,01609942000134,MUNICIPIO DE URUANA DE MINAS,M,Uruana de Minas,564312.55,,2026-08-14T07:59:31,2026-08-27T08:30:00,Pregão - Eletrônico,Aberto,Divulgada no PNCP,False,https://pncp.gov.br/app/editais/01609942000134/2026/24,,MG
MG-C1A4B7C110BB,Divena,22/2026,22,2026.0,24.0,Minas Gerais,Secretaria Municipal de Educação,01609942000134,MUNICIPIO DE URUANA DE MINAS,M,Uruana de Minas,564312.55,,2026-08-14T07:59:31,2026-08-27T08:30:00,Pregão - Eletrônico,Aberto,Divulgada no PNCP,False,https://pncp.gov.br/app/editais/01609942000134/2026/24,,MG
