CNPJ,RAZAO_SOCIAL,ESFERA,UF,MUNICIPIO,UNIDADE,QTD_CONTRATACOES
00394502000144,COMANDO DA MARINHA,F,Rio de Janeiro,Rio de Janeiro,CENTRO MEDICO ASSISTENCIAL DA MARINHA,1
00394544000185,MINISTERIO DA SAUDE,F,Roraima,Boa Vista,DISTRITO SANIT.ESP.INDÍGENA - LESTE RR,1
00402552000126,COMISSAO NACIONAL DE ENERGIA NUCLEAR,F,Pernambuco,Recife,CENTRO REG. DE CIENCIAS NUCLEARES DO NORDESTE,1
00509968000148,TRIBUNAL SUPERIOR DO TRABALHO,F,São Paulo,Campinas,TRIBUNAL REGIONAL DO TRABALHO DA 15A.REGIAO,2
00700114000144,COMITE PARAOLIMPICO BRASILEIRO,N,São Paulo,São Paulo,COMITE PARALIMPICO BRASILEIRO/SP,1
01609942000134,MUNICIPIO DE URUANA DE MINAS,M,Minas Gerais,Uruana de Minas,Secretaria Municipal de Educação,1
01612911000132,MUNICIPIO DE RESERVA DO IGUACU,M,Paraná,Reserva do Iguaçu,PREFEITURA MUNICIPAL DE RESERVA DO IGUAÇU-PR,1
01615008000125,MUNICIPIO DE FREI LAGONEGRO,M,Minas Gerais,Frei Lagonegro,Unidade Única,1
04012548000102,MUNICIPIO DE CRUZEIRO DO SUL,M,Acre,Cruzeiro do Sul,PREFEIRURA MUNICIPAL DE CRUZEIRO DO SUL - AC,1
04691691000178,SERVICO MUNICIPAL AUTONOMO DE AGUA E ESGOTO,M,São Paulo,São José do Rio Preto,SERVICO MUNICIPAL AUTONOMO DE AGUA E ESGOTO,1
08288700000135,FUNDO MUNICIPAL DE SAUDE,M,Goiás,Cachoeira Alta,FUNDO MUNICIPAL DE SAÚDE DE CACHOEIRA ALTA/GO,1
08334385000135,COMPANHIA DE AGUAS E ESGOTOS DO RIO GRANDE DO NORTE,N,Rio Grande do Norte,Natal,ERN - COMPANHIA DE ÁGUAS E ESGOTOS DO RN,1
08924581000160,MUNICIPIO DE BAYEUX,M,Paraíba,Bayeux,PREFEITURA MUNICIPAL DE BAYEUX,1
10091510000175,MUNICIPIO DE BEZERROS,M,Pernambuco,Bezerros,PREFEITURA MUNICIPAL DE BEZERROS,1
10971858000157,FUNDO MUNICIPAL DE SAUDE DE CAPIVARI DE BAIXO,M,Santa Catarina,Capivari de Baixo,FUNDO MUNICIPAL DE SAUDE DE CAPIVARI DE BAIXO,1
11285282000137,FUNDACAO ESTATAL DE SAUDE DO PANTANAL,M,Mato Grosso do Sul,Coxim,FESP - FUNDAÇÃO ESTATAL DE SAÚDE DO PANTANAL,1
11800731000138,FUNDO MUNICIPAL DE SAUDE/SUS DO MUNICIPIO DE RESENDE,M,Rio de Janeiro,Resende,FUNDO MUNICIPAL DE SAÚDE DE RESENDE - SUS,1
12248878000120,MUNICIPIO DE NOVO LINO,M,Alagoas,Novo Lino,PREFEITURA MUNICIPAL DE NOVO LINO - AL,1
13504675000110,EMPRESA BAIANA DE AGUAS E SANEAMENTO S/A - EMBASA,N,Bahia,Salvador,EMPRESA BAIANA DE AGUAS E SANEAMENTO S/A - EMBASA,1
13719646000175,MUNICIPIO DE ITABERABA,M,Bahia,Itaberaba,COMISSAO DE LICITACOES,1
13846753000164,MUNICIPIO DE IBIRAPITANGA,M,Bahia,Ibirapitanga,PREFEITURA MUNICIPAL DE IBIRAPITANGA - BA,1
13937032000160,ESTADO DA BAHIA,E,Bahia,Salvador,FESBA - FUNDO ESTADUAL DE SAUDE DO ESTADO DA BAHIA,1
16886608000103,MUNICIPIO DE CHAPADA DO NORTE,M,Minas Gerais,Chapada do Norte,Unidade Unica,1
17138140000123,EMPRESA DE PESQUISA AGROPECUARIA DE MINAS GERAIS,E,Minas Gerais,Belo Horizonte,DPSU,1
17963083000117,MUNICIPIO DE ARACUAI,M,Minas Gerais,Araçuaí,Unidade Única,1
18080655000182,MUNICIPIO DE ENGENHEIRO CALDAS,M,Minas Gerais,Engenheiro Caldas,MUNICIPIO DE ENGENHEIRO CALDAS,1
18094839000100,MUNICIPIO DE IBERTIOGA,M,Minas Gerais,Ibertioga,Unidade Única,1
18296699000144,MUNICIPIO DE QUARTEL GERAL,M,Minas Gerais,Quartel Geral,Unidade Única,1
18300996000116,MUNICIPIO DE ARAUJOS,M,Minas Gerais,Araújos,Unidade Única,1
18303180000146,MUNICIPIO DE CONGONHAS DO NORTE,M,Minas Gerais,Congonhas do Norte,Unidade Única,1
18303255000199,MUNICIPIO DE RIO VERMELHO,M,Minas Gerais,Rio Vermelho,MUNICIPIO DE RIO VERMELHO,1
18313015000175,MUNICIPIO DE ITAGUARA,M,Minas Gerais,Itaguara,PREFEITURA MUNICIPAL DE ITAGUARA,1
18349894000195,MUNICIPIO DE ALMENARA,M,Minas Gerais,Almenara,Unidade Única,1
18404764000108,MUNICIPIO DE PADRE PARAISO,M,Minas Gerais,Padre Paraíso,Unidade Única,1
18668376000134,MUNICIPIO DE MONTE BELO,M,Minas Gerais,Monte Belo,SECRETARIA MUNICIPAL DE ADMINISTRACAO,1
18691766000125,MUNICIPIO DE ITATIAIUCU,M,Minas Gerais,Itatiaiuçu,PREFEITURA MUNICIPAL DE ITATIAIUCU - MG,1
19229921000159,MUNICIPIO DE CAPELINHA,M,Minas Gerais,Capelinha,Unidade Única,1
19296278000186,FUNDO MUNICIPAL DE SAUDE DO MUNICIPIO DE CAMPO ALEGRE,M,Alagoas,Campo Alegre,FUNDO MUNICIPAL DE SAÚDE DE CAMPO ALEGRE,1
19769660000160,MUNICIPIO DE CONSELHEIRO PENA,M,Minas Gerais,Conselheiro Pena,Unidade Única,1
21154174000189,MUNICIPIO DE CARBONITA,M,Minas Gerais,Carbonita,Unidade Única,1
23804149000129,MUNICIPIO DE PONTE NOVA,M,Minas Gerais,Ponte Nova,Unidade Única,1
35576651000109,SUPERINTENDENCIA DE TRANSPORTES PUBLICOS,M,Paraíba,Campina Grande,SUPERINTENDÊNCIA DE TRANSITO E TRANSP PUBLIC,1
39563911000162,FUNDO MUNICIPAL DE SAUDE PMVR SMS,M,Rio de Janeiro,Volta Redonda,FUNDO MUNICIPAL DE SAÚDE DE VOLTA REDONDA-RJ,1
44482248000101,MUNICIPIO DE OCAUCU,M,São Paulo,Ocauçu,MUNICIPIO DE OCAUCU,1
45226214000119,MUNICIPIO DE PINDAMONHANGABA,M,São Paulo,Pindamonhangaba,PR 15,1
45352267000186,MUNICIPIO DE PONTAL,M,São Paulo,Pontal,PREFEITURA MUNICIPAL DE PONTAL - SP,1
